title,body,rating,review_date,reviewer_name,reviewer_email,product_handle,picture_urls
"stunning little figure, very little prep work requ...","stunning little figure, very little prep work required before painting, good price and pretty quick delivery",10,2025-01-01,Ben Z.,,1-10-alexander-the-great-conquests,
"Excelente producto calidad 5 estrellas, 100% satis...","Excelente producto calidad 5 estrellas, 100% satisfecho con la compra.
Muchas gracias",10,2025-01-01,C***o.,,1-35-resin-kit-modern-u-s-military-295,
Splendid figure of the Napoleonic era. Very authen...,"Splendid figure of the Napoleonic era. Very authentic 
.",10,2025-01-01,R***y.,,54mm-the-empire-of-france-chasseur-1805,
Produit conforme je recommande.,Produit conforme je recommande.,10,2025-01-01,Katie F.,,54mm-the-empire-of-france-chasseur-1805,
I am very satisfied with the product I received....,"I am very satisfied with the product I received.
This shop's response was prompt and courteous.
I can recommend the products and stores to you.",10,2025-01-01,J***r.,,54mm-the-empire-of-france-chasseur-1805,
"detailiirte Figur, Top","detailiirte Figur, Top",10,2025-01-01,t***r.,,54mm-the-empire-of-france-chasseur-1805,
Beautiful work and great casting.Very nice figure....,"Beautiful work and great casting.Very nice figure.Recommend,l order more from the seller",10,2025-01-01,k***k.,,54mm-the-empire-of-france-chasseur-1805,
Качественная отливка.  Неплохая смола.  Мелкие дет...,"Качественная отливка.  Неплохая смола.  Мелкие детали рельефа хорошо ""читаются"".  Фигура была надежно упакована.",10,2025-01-01,Б***ь.,,54mm-the-empire-of-france-chasseur-1805,
"Гарна відливка, висока деталізація, задоволений як...","Гарна відливка, висока деталізація, задоволений якістю на всі 100%",10,2025-01-01,s***s.,,54mm-the-empire-of-france-chasseur-1805,
Top Figur!!!,Top Figur!!!,10,2025-01-01,t***r.,,54mm-the-empire-of-france-chasseur-1805,
"It arrived fast, faster than expected and it also...","It arrived fast, faster than expected and it also came in good conditions and packaging, although I think the manufacturer forgot one piece but overall it is worth the price.",8,2025-01-01,C***z.,,54mm-the-empire-of-france-chasseur-1805,
"en mi caso, una decepción , nadie reviso que la fi...","en mi caso, una decepción , nadie reviso que la figura estaba mal , directamente a la basura",6,2025-01-01,G***s.,,54mm-the-empire-of-france-chasseur-1805,
"Modello molto ben rifinito, sarà un piacere diping...","Modello molto ben rifinito, sarà un piacere dipingerlo. Consegna veloce e imballo impeccabile.",10,2025-01-01,P***e.,,54mm-resin-kit-the-french-napoleon-era-elite-infantry-flag-in-hand-m54008,
Royaume de Naples,Royaume de Naples,10,2025-01-01,M***m.,,54mm-resin-kit-the-french-napoleon-era-elite-infantry-flag-in-hand-m54008,
"Very detailed project,recommend","Very detailed project,recommend",10,2025-01-01,k***k.,,54mm-resin-kit-the-french-napoleon-era-elite-infantry-flag-in-hand-m54008,
très difficile a monter il manquait le mat de l'ét...,très difficile a monter il manquait le mat de l'étendard,8,2025-01-01,t***r.,,54mm-resin-kit-the-french-napoleon-era-elite-infantry-flag-in-hand-m54008,
"знамя не пролито, древка нет","знамя не пролито, древка нет",6,2025-01-01,К***ч.,,54mm-resin-kit-the-french-napoleon-era-elite-infantry-flag-in-hand-m54008,
Sono molto soddisfatto della qualità del kit acqui...,"Sono molto soddisfatto della qualità del kit acquistato. È una bellissima figura, ben stampata e con resina di ottima qualità. sono rimasto piacevolmente sorpreso dalla precisione dei dettagli, finemente riprodotti.  L'articolo è stato confezionato con cura e sebbene la scatola fosse leggermente schiacciata il contenuto era intatto. Oltre che conveniente, l'articolo è arrivato in poco tempo dall'ordine. Complimenti e grazie!",10,2025-01-01,d***r.,,resin-kit-the-roaming-knight-the-fifteenth-century-collectible-unassembled-sculpture-for-hobbyists,
"mooi figuurtje,  90 mm groot.  lijkt goede kwalite...","mooi figuurtje,  90 mm groot.  lijkt goede kwaliteit van gietvorm.  werd snel opgestuurd en afgeleverd.",10,2025-01-01,P***s.,,resin-kit-the-roaming-knight-the-fifteenth-century-collectible-unassembled-sculpture-for-hobbyists,
una terminación más que decente. buena definición...,una terminación más que decente. buena definición de rasgos faciales. se trabajan fácil.,10,2025-01-01,J***Z.,,1-35-resin-kit-creeping-soldier-310,
"Very nice figures,the casting is new !!!Excellent...","Very nice figures,the casting is new !!!Excellent all.Recommend",10,2025-01-01,k***k.,,1-35-model-kit-resin-kit-machine-gun-group-collectible-unassembled-sculpture-for-hobbyists,
buenas terminaciones y poco trabajo para limpiar r...,buenas terminaciones y poco trabajo para limpiar rebabas. Definición de rasgos faciales buena.,10,2025-01-01,J***Z.,,1-35-model-kit-resin-kit-machine-gun-group-collectible-unassembled-sculpture-for-hobbyists,
"Looks good, hopefully they'll go together and pain...","Looks good, hopefully they'll go together and paint well for addition to a relevant diorama.",10,2025-01-01,James E.,,1-35-model-kit-resin-kit-machine-gun-group-collectible-unassembled-sculpture-for-hobbyists,
Figures are well cast and I'm looking forward to p...,Figures are well cast and I'm looking forward to painting them.,10,2025-01-01,E***r.,,1-35-model-kit-resin-kit-machine-gun-group-collectible-unassembled-sculpture-for-hobbyists,
표면이 조금 거칠긴하지만 잘 다듬으면 무리없이 제작이 가능하다. 좋은 품질의 좋은 인형....,표면이 조금 거칠긴하지만 잘 다듬으면 무리없이 제작이 가능하다. 좋은 품질의 좋은 인형. 굿굿,10,2025-01-01,Sophie R.,,1-35-model-kit-resin-kit-machine-gun-group-collectible-unassembled-sculpture-for-hobbyists,
"離型はそこそこ
気泡の表面露出は少なめ
細部の引けは並程度(多少手直し必要)
銃身やスコップなどの剃...","離型はそこそこ
気泡の表面露出は少なめ
細部の引けは並程度(多少手直し必要)
銃身やスコップなどの剃り、曲がりは少なめ
この手の品の中ではかなりの良品と言える",8,2025-01-01,Katie U.,,1-35-model-kit-resin-kit-machine-gun-group-collectible-unassembled-sculpture-for-hobbyists,
Great resin model kit of a Knight Templar. Very de...,Great resin model kit of a Knight Templar. Very detailed and the moulding is of superb quality and definition. No warping or bubbles. Minimal mould lines. I look forward to painting it. Well packaged and arrived quickly,10,2025-01-01,Katie Y.,,resin-kit-m90022-knights-hospitaller-90-mm,
Excellent figure and nice casting recommend li ord...,Excellent figure and nice casting recommend li order more from the seller .Thanks,10,2025-01-01,k***k.,,resin-kit-m90022-knights-hospitaller-90-mm,
"todo perfecto.
-----------------------------------...","todo perfecto.
------------------------------------",10,2025-01-01,E***r.,,resin-kit-m90022-knights-hospitaller-90-mm,
top lindo kit!,top lindo kit!,10,2025-01-01,A***A.,,resin-kit-m90022-knights-hospitaller-90-mm,
Tutto ok. Perfettamente imballato e come da illust...,Tutto ok. Perfettamente imballato e come da illustrazione.,10,2025-01-01,a***i.,,resin-kit-m90022-knights-hospitaller-90-mm,
odlew doskonały,odlew doskonały,10,2025-01-01,m***r.,,resin-kit-m90022-knights-hospitaller-90-mm,
"Thank you, good job","Thank you, good job",10,2025-01-01,F***a.,,resin-kit-m90022-knights-hospitaller-90-mm,
Figurini ottimi ben stampati e molto dettagliati....,Figurini ottimi ben stampati e molto dettagliati. Spedizione veloce,10,2025-01-01,m***r.,,1-35-model-kit-resin-kit-tank-duo,
Sensacional a figura.,Sensacional a figura.,10,2025-01-01,Lucy Q.,,1-35-resin-kit-soldier-sitting-on-the-stone-resting-313,
Très très bien emballé et livraison très rapide et...,Très très bien emballé et livraison très rapide et très soignée,10,2025-01-01,S***t.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
Amazing detail.... Could not get better!!,Amazing detail.... Could not get better!!,10,2025-01-01,i***r.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
très belle figurine,très belle figurine,10,2025-01-01,D***n.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
fast excellent service,fast excellent service,10,2025-01-01,D***r.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
Boa figura.,Boa figura.,10,2025-01-01,Thomas X.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
quality of the casting appears to be good with nic...,"quality of the casting appears to be good with nice sharp details. I'm looking forward to assembly and painting of these figures and plan to buy more in future if they are good. shipping was fast, which is also a bonus and they were packed well.",10,2025-01-01,Ben J.,,1-35-resin-kit-tired-soldier-314-collectible-unassembled-sculpture-for-hobbyists,
fast excellent service,fast excellent service,10,2025-01-01,D***r.,,1-35-model-kit-resin-kit-two-people-driving,
Well pleased.,Well pleased.,10,2025-01-01,b***r.,,1-35-model-kit-resin-kit-two-people-driving,
"everything perfect, very good figures, very fast d...","everything perfect, very good figures, very fast delivery, well packed, top shop!!!",10,2025-01-01,K***n.,,1-35-model-kit-resin-kit-tank-soldiers-resting-in-winter-326,
Excellent figures and casting. Very happy with thi...,Excellent figures and casting. Very happy with this purchase!,10,2025-01-01,j***r.,,1-35-model-kit-resin-kit-tank-soldiers-resting-in-winter-326,
El pedido tardÃ³ mÃ¡s de un mes en llegar. Aparte...,"El pedido tardÃ³ mÃ¡s de un mes en llegar. Aparte de eso, las figuras son de calidad y el embalaje es bueno",8,2025-01-01,Katie A.,,1-35-model-kit-resin-kit-tank-soldiers-resting-in-winter-326,
Awesome product awesome service very good offers....,Awesome product awesome service very good offers. A must stop one shop for future purchases. Highly recommended,10,2025-01-01,Hannah O.,,1-35-model-kit-resin-kit-street-fighting-325,
Excellent figure. Well made and easy to build and...,Excellent figure. Well made and easy to build and paint!,10,2025-01-01,D***r.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
la figura de la mujer bolchevique tiene muy buena...,"la figura de la mujer bolchevique tiene muy buena pinta, ya os contaré....",10,2025-01-01,Olivia O.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
I’m really pleased with this and it will go well w...,I’m really pleased with this and it will go well with a diorama I’m doing cheers,10,2025-01-01,a***r.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
A beautiful figure. Captures an iconic meld of bea...,A beautiful figure. Captures an iconic meld of beauty and strength. Will my painting skills do it justice?,10,2025-01-01,R***y.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
Покупаю не первый раз у этого продавца. Качество н...,Покупаю не первый раз у этого продавца. Качество неплохое и быстрая скорость доставки.,10,2025-01-01,Chris L.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
A beautiful figure. Pose and fine facial detail ar...,A beautiful figure. Pose and fine facial detail are impressive,10,2025-01-01,R***y.,,1-35-resin-kit-soviet-female-127-collectible-unassembled-sculpture-for-hobbyists,
Великолепное литье и очень тонкая проработка детал...,Великолепное литье и очень тонкая проработка деталей! Очень доволен!,10,2025-01-01,П***ч.,,1-35-resin-kit-wwii-soviet-navy-soldiers-333,
Buen modelo. Pero ha tardado casi un mes en llegar...,Buen modelo. Pero ha tardado casi un mes en llegar.,8,2025-01-01,Emma W.,,1-35-resin-kit-wwii-soviet-navy-soldiers-333,
